size,run,cpu_ms,h2d_ms,kernel_ms,d2h_ms,total_gpu_ms,verified
256,1,54.9786,0.1844,0.2588,0.2282,0.7025,1
256,2,55.3493,0.1758,0.2618,0.2146,0.6841,1
256,3,53.3535,0.1747,0.2550,0.2179,0.6800,1
256,4,53.6658,0.1783,0.2618,0.2286,0.7010,1
256,5,53.4526,0.1750,0.2675,0.2152,0.6922,1
256,6,54.1636,0.1848,0.2477,0.2184,0.6939,1
256,7,52.9982,0.1826,0.2526,0.2149,0.6841,1
256,8,53.5427,0.1725,0.2535,0.2160,0.6820,1
256,9,56.0207,0.1890,0.2525,0.2272,0.7009,1
256,10,53.6740,0.1892,0.2538,0.2264,0.7032,1
512,1,761.9261,0.7072,1.0339,0.8313,2.6070,1
512,2,766.1332,0.6925,1.0422,0.8026,2.5723,1
512,3,1394.5631,0.7149,1.0700,0.9545,2.7778,1
512,4,1136.3878,0.6932,1.0344,0.8452,2.6086,1
512,5,752.1121,0.7029,1.0356,0.8446,2.6188,1
512,6,769.7101,0.7380,1.0507,0.7908,2.6128,1
512,7,773.9219,0.7026,1.0444,0.7721,2.5555,1
512,8,780.8412,0.6980,1.0370,0.8292,2.6026,1
512,9,724.9742,0.7085,1.0459,0.7782,2.5659,1
512,10,722.4094,0.7137,1.0373,0.8589,2.6458,1
1024,1,8588.5791,2.0700,6.8845,2.9307,11.9218,1
1024,2,7274.7515,1.9754,6.8836,2.9490,11.8445,1
1024,3,8561.9385,1.9998,6.8912,2.8877,11.8172,1
1024,4,8526.4961,1.9800,6.9108,3.4498,12.3798,1
1024,5,7260.5156,1.9685,6.8968,2.8895,11.7903,1
2048,1,95352.2734,7.6259,53.7648,11.4883,72.9200,1
2048,2,103226.0859,7.7003,53.8119,11.6800,73.2334,1
2048,3,97023.3516,7.6737,53.4007,12.0069,73.1227,1
2048,4,102714.2344,7.4892,53.0521,11.7508,72.3386,1
2048,5,110743.8516,8.0801,52.5343,11.9001,72.5579,1
,,,,,,,
size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total
256,54.1199,0.1806,0.2565,0.2208,0.6924,210.9891,78.1656
512,756.5035,0.7037,1.0402,0.8170,2.5988,727.2904,291.0966
1024,8042.4562,1.9809,6.8934,2.9142,11.8434,1166.6934,679.0642
2048,101811.9594,7.6666,53.3128,11.7652,72.8345,1909.7101,1397.8533
