size,run,cpu_ms,h2d_ms,kernel_ms,d2h_ms,total_gpu_ms,verified
256,1,40.250366,0.090816,0.255936,0.18992,0.571808,1
256,2,45.391872,0.094816,0.240608,0.142912,0.512864,1
256,3,39.99437,0.089984,0.197376,0.127616,0.448416,1
512,1,467.146759,0.314848,0.818688,0.4672,1.63472,1
512,2,456.336395,0.295264,0.863712,0.467968,1.661472,1
512,3,518.033386,0.345664,0.827776,0.489952,1.699872,1
1024,1,3959.091309,0.938144,5.24288,1.545888,7.762464,1
1024,2,3789.53418,0.923232,5.267264,1.460832,7.687488,1
1024,3,3666.581543,0.955584,5.282272,1.468224,7.741888,1
2048,1,56165.71875,3.54992,39.766945,5.53984,48.896545,1
2048,2,104001.3438,3.526528,41.850559,5.647616,51.063358,1
2048,3,46741.90625,3.91792,42.136929,5.720576,51.826847,1
,,,,,,,
size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total
256,41.8789,0.0919,0.2313,0.1535,0.511,180.99,81.98
512,480.5055,0.3186,0.8367,0.4754,1.6653,574.22,288.56
1024,3805.0697,0.939,5.2641,1.4916,7.7306,722.97,492.11
2048,68969.6563,3.6648,41.2515,5.6360,50.5956,1671.9318,1363.1557
