size,run,cpu_ms,h2d_ms,kernel_ms,d2h_ms,total_gpu_ms,verified
256,1,96.984352,2.188672,0.998496,0.224192,3.45872,1
256,2,101.052414,0.191488,1.022112,0.277728,1.533728,1
256,3,99.662048,0.185536,0.992352,0.21968,1.433984,1
256,4,115.733154,0.202208,1.009184,0.232352,1.484192,1
256,5,104.370178,0.192032,1.012032,0.26448,1.506816,1
256,6,101.958435,0.193984,1.024992,0.28464,1.552032,1
256,7,104.529121,0.18432,1.007168,0.233856,1.46416,1
256,8,106.126045,0.19744,1.012928,0.247968,1.505248,1
256,9,56.416161,0.170304,0.957696,0.197152,1.357312,1
256,10,57.461086,0.176448,0.973952,0.219968,1.405888,1
512,1,687.94989,0.704736,6.375776,0.802912,7.92032,1
512,2,716.09137,0.687264,6.364064,0.779296,7.867584,1
512,3,737.276733,0.702848,6.348992,0.842976,7.929632,1
512,4,727.194153,0.690048,6.356416,0.81216,7.895168,1
512,5,729.053345,0.693856,6.349472,0.797824,7.875584,1
512,6,709.104553,0.695232,6.358176,0.80496,7.897088,1
512,7,745.146362,0.73696,6.360032,0.787552,7.921216,1
512,8,783.312378,0.702624,6.355968,0.834336,7.926624,1
512,9,745.78125,0.699456,6.363552,0.808064,7.906272,1
512,10,733.287476,0.689408,6.36464,0.775136,7.86352,1
1024,1,8448.958984,1.995776,49.265217,2.924256,54.231422,1
1024,2,8656.352539,2.186496,49.273281,2.95552,54.463806,1
1024,3,8188.381348,2.066048,49.316704,3.469472,54.918591,1
1024,4,8971.405273,1.996352,49.732609,2.895744,54.67424,1
1024,5,8744.929688,2.023104,49.306271,2.921888,54.297729,1
1024,6,7305.453125,1.98464,49.259903,3.333248,54.634785,1
1024,7,8567.102539,1.996416,49.260674,3.1584,54.474464,1
1024,8,8489.572266,1.976128,49.263424,3.029952,54.314079,1
1024,9,7296.675293,1.970464,49.265728,2.864576,54.149792,1
1024,10,8548.845703,1.984256,49.73328,2.85168,54.6096,1
2048,1,94461.75,7.517824,313.263672,11.667104,332.51236,1
2048,2,115013.3984,7.442432,321.828186,12.016192,341.346893,1
2048,3,93095.55469,7.424192,295.623413,11.474816,314.587555,1
2048,4,96905.67188,7.3968,276.501007,11.597184,295.556244,1
2048,5,98840.14063,8.020352,276.04715,14.547744,298.71106,1
2048,6,95181.91406,7.356416,299.616577,11.4696,318.499969,1
2048,7,97652.53125,7.617952,274.335144,11.747072,293.766205,1
2048,8,100358.8672,7.603712,294.97699,11.771712,314.418579,1
2048,9,98372.05469,7.5544,307.548737,11.661216,326.824707,1
2048,10,100971.4609,7.943648,314.551117,11.426048,333.978302,1
,,,,,,,
size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total
256,102.0975,0.1882,1.0059,0.2402,1.4715,101.4974,69.384
512,725.6539,0.6962,6.3579,0.8002,7.9003,114.1338,91.8514
1024,8576.9435,1.9909,49.2764,2.9928,54.4769,174.0578,157.442
2048,97315.5495,7.4892,297.4292,11.6479,317.0202,327.189,306.9696
