Size,Colab T4 Kernel (ms),Lab GPU Kernel (ms),Faster,,,,,,,,,,,,,
256,0.2687,0.2081,Lab,,,,,,,,,,,,,
512,1.03545,0.6033,Lab,,,,,,,,,,,,,
1024,7.07845,3.8305,Lab,,,,,,,,,,,,,
2048,53.95435,41.6088,Lab,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total,,size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total
256,80.8135,0.1871,0.2809,0.2269,0.7311,287.676,110.544,,256,54.1199,0.1806,0.2565,0.2208,0.6924,210.9891,78.1656
512,752.3635,0.7139,1.0307,0.8086,2.5906,729.9876,290.4261,,512,756.5035,0.7037,1.0402,0.817,2.5988,727.2904,291.0966
1024,8589.8392,1.987,7.2635,2.9672,12.2387,1182.6079,701.8599,,1024,8042.4562,1.9809,6.8934,2.9142,11.8434,1166.6934,679.0642
2048,106289.8328,7.8532,54.5959,11.8298,74.1903,1946.8449,1432.6652,,2048,101811.9594,7.6666,53.3128,11.7652,72.8345,1909.7101,1397.8533
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total,,size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total
256,48.8741,0.0998,0.1849,0.1311,0.4504,264.33,108.49,,256,41.8789,0.0919,0.2313,0.1535,0.511,180.99,81.98
512,470.2269,0.356,0.3699,0.4702,1.234,1271.43,381.24,,512,480.5055,0.3186,0.8367,0.4754,1.6653,574.22,288.56
1024,3885.9647,0.9364,2.3969,1.5426,4.9135,1620.57,791,,1024,3805.0697,0.939,5.2641,1.4916,7.7306,722.97,492.11
2048,68479.4401,3.8188,41.9661,5.4139,51.2166,1631.779,1337.0533,,2048,68969.6563,3.6648,41.2515,5.636,50.5956,1671.9318,1363.1557
