task,version,threads,chunk,trial,time_ms
task3,1,1,510503,1,33.4117
task3,1,1,510503,2,29.6898
task3,1,1,510503,3,32.5695
task3,1,1,510503,4,27.2206
task3,1,1,510503,5,29.1921
task3,1,1,2552519,1,132.918
task3,1,1,2552519,2,135.527
task3,1,1,2552519,3,132.605
task3,1,1,2552519,4,130.83
task3,1,1,2552519,5,132.297
task3,1,1,5105039,1,257.187
task3,1,1,5105039,2,263.786
task3,1,1,5105039,3,268.718
task3,1,1,5105039,4,263.278
task3,1,1,5105039,5,253.726
task3,2,1,510503,1,22.3349
task3,2,1,510503,2,20.9633
task3,2,1,510503,3,22.1155
task3,2,1,510503,4,22.84
task3,2,1,510503,5,20.2798
task3,2,2,510503,1,16.917
task3,2,2,510503,2,18.6719
task3,2,2,510503,3,14.9484
task3,2,2,510503,4,18.2054
task3,2,2,510503,5,17.2361
task3,2,4,510503,1,15.8356
task3,2,4,510503,2,17.4947
task3,2,4,510503,3,15.4732
task3,2,4,510503,4,17.3678
task3,2,4,510503,5,16.2228
task3,2,8,510503,1,24.7769
task3,2,8,510503,2,25.7328
task3,2,8,510503,3,26.3636
task3,2,8,510503,4,26.5817
task3,2,8,510503,5,25.5515
task3,2,1,2552519,1,101.081
task3,2,1,2552519,2,100.589
task3,2,1,2552519,3,97.9249
task3,2,1,2552519,4,96.6506
task3,2,1,2552519,5,98.8933
task3,2,2,2552519,1,57.5541
task3,2,2,2552519,2,60.4221
task3,2,2,2552519,3,60.4045
task3,2,2,2552519,4,57.9211
task3,2,2,2552519,5,59.7265
task3,2,4,2552519,1,38.7657
task3,2,4,2552519,2,41.7549
task3,2,4,2552519,3,42.2715
task3,2,4,2552519,4,42.4138
task3,2,4,2552519,5,43.7101
task3,2,8,2552519,1,38.571
task3,2,8,2552519,2,44.5728
task3,2,8,2552519,3,42.3945
task3,2,8,2552519,4,39.6268
task3,2,8,2552519,5,44.325
task3,2,1,5105039,1,207.999
task3,2,1,5105039,2,202.053
task3,2,1,5105039,3,203.318
task3,2,1,5105039,4,207.328
task3,2,1,5105039,5,202.847
task3,2,2,5105039,1,106.651
task3,2,2,5105039,2,112.627
task3,2,2,5105039,3,105.406
task3,2,2,5105039,4,105.95
task3,2,2,5105039,5,108.105
task3,2,4,5105039,1,70.4317
task3,2,4,5105039,2,76.4073
task3,2,4,5105039,3,77.8945
task3,2,4,5105039,4,77.9154
task3,2,4,5105039,5,75.8335
task3,2,8,5105039,1,68.7357
task3,2,8,5105039,2,68.8876
task3,2,8,5105039,3,64.9004
task3,2,8,5105039,4,69.7504
task3,2,8,5105039,5,68.3571
task3,3,1,510503,1,21.2112
task3,3,1,510503,2,27.5045
task3,3,1,510503,3,22.1444
task3,3,1,510503,4,23.4346
task3,3,1,510503,5,23.1967
task3,3,2,510503,1,19.0107
task3,3,2,510503,2,21.0011
task3,3,2,510503,3,22.788
task3,3,2,510503,4,22.4838
task3,3,2,510503,5,18.6234
task3,3,4,510503,1,24.4028
task3,3,4,510503,2,21.8074
task3,3,4,510503,3,20.1773
task3,3,4,510503,4,17.0937
task3,3,4,510503,5,20.8686
task3,3,8,510503,1,34.5339
task3,3,8,510503,2,35.5871
task3,3,8,510503,3,36.5068
task3,3,8,510503,4,34.7153
task3,3,8,510503,5,33.8714
task3,3,1,2552519,1,110.194
task3,3,1,2552519,2,111.346
task3,3,1,2552519,3,109.823
task3,3,1,2552519,4,111.422
task3,3,1,2552519,5,112.895
task3,3,2,2552519,1,67.7835
task3,3,2,2552519,2,71.0537
task3,3,2,2552519,3,65.4716
task3,3,2,2552519,4,69.5935
task3,3,2,2552519,5,61.3683
task3,3,4,2552519,1,43.2027
task3,3,4,2552519,2,44.5744
task3,3,4,2552519,3,44.1298
task3,3,4,2552519,4,47.151
task3,3,4,2552519,5,47.8136
task3,3,8,2552519,1,46.7713
task3,3,8,2552519,2,46.4343
task3,3,8,2552519,3,48.152
task3,3,8,2552519,4,50.4672
task3,3,8,2552519,5,52.0043
task3,3,1,5105039,1,231.85
task3,3,1,5105039,2,226.35
task3,3,1,5105039,3,231.788
task3,3,1,5105039,4,233.323
task3,3,1,5105039,5,224.243
task3,3,2,5105039,1,124.513
task3,3,2,5105039,2,119.876
task3,3,2,5105039,3,120.955
task3,3,2,5105039,4,129.423
task3,3,2,5105039,5,120.79
task3,3,4,5105039,1,77.59
task3,3,4,5105039,2,78.6744
task3,3,4,5105039,3,83.882
task3,3,4,5105039,4,80.9819
task3,3,4,5105039,5,82.1231
task3,3,8,5105039,1,76.4343
task3,3,8,5105039,2,74.1783
task3,3,8,5105039,3,71.8985
task3,3,8,5105039,4,71.339
task3,3,8,5105039,5,69.4809
