task,version,threads,dataset_size,speed_up_X,avg_time_ms
task1,1,1,500000,-,78.28
task1,1,1,2500000,-,420.25
task1,1,1,5000000,-,833.48
task1,2,1,500000,1.67707,-
task1,2,2,500000,3.41471,-
task1,2,4,500000,4.12823,-
task1,2,8,500000,7.01364,-
task1,2,1,2500000,1.65368,-
task1,2,2,2500000,3.40441,-
task1,2,4,2500000,4.3877,-
task1,2,8,2500000,6.67173,-
task1,2,1,5000000,1.8982,-
task1,2,2,5000000,3.18646,-
task1,2,4,5000000,4.23536,-
task1,2,8,5000000,6.42367,-
task1,3,1,500000,1.68313,-
task1,3,2,500000,2.61072,-
task1,3,4,500000,4.08804,-
task1,3,8,500000,5.74272,-
task1,3,1,2500000,1.71466,-
task1,3,2,2500000,2.68599,-
task1,3,4,2500000,3.93127,-
task1,3,8,2500000,5.12055,-
task1,3,1,5000000,1.29441,-
task1,3,2,5000000,2.25662,-
task1,3,4,5000000,4.06404,-
task1,3,8,5000000,5.22306,-
,,,,,
task2,1,1,310553,-,4.938974
task2,1,1,1552768,-,20.18474
task2,1,1,3105536,-,41.63804
task2,2,1,310553,1.3303,-
task2,2,2,310553,2.41766,-
task2,2,4,310553,2.8138,-
task2,2,8,310553,3.94259,-
task2,2,1,1552768,1.00956,-
task2,2,2,1552768,1.98069,-
task2,2,4,1552768,2.67103,-
task2,2,8,1552768,3.63826,-
task2,2,1,3105536,1.06444,-
task2,2,2,3105536,1.98988,-
task2,2,4,3105536,3.16461,-
task2,2,8,3105536,4.19807,-
task2,3,1,310553,1.31608,-
task2,3,2,310553,2.3066,-
task2,3,4,310553,2.72089,-
task2,3,8,310553,3.38545,-
task2,3,1,1552768,1.02783,-
task2,3,2,1552768,1.96059,-
task2,3,4,1552768,2.28986,-
task2,3,8,1552768,3.92224,-
task2,3,1,3105536,1.03681,-
task2,3,2,3105536,1.93367,-
task2,3,4,3105536,2.54887,-
task2,3,8,3105536,3.42086,-
,,,,,
task3,1,1,510503,-,32.98994
task3,1,1,2552519,-,132.8354
task3,1,1,5105039,-,261.339
task3,2,1,510503,1.49986,-
task3,2,2,510503,2.03478,-
task3,2,4,510503,1.96577,-
task3,2,8,510503,1.22763,-
task3,2,1,2552519,1.37439,-
task3,2,2,2552519,2.30801,-
task3,2,4,2552519,3.42663,-
task3,2,8,2552519,3.44392,-
task3,2,1,5105039,1.29342,-
task3,2,2,5105039,2.47936,-
task3,2,4,5105039,3.71053,-
task3,2,8,5105039,4.02677,-
task3,3,1,510503,1.43399,-
task3,3,2,510503,1.63325,-
task3,3,4,510503,1.77941,-
task3,3,8,510503,0.898006,-
task3,3,1,2552519,1.20954,-
task3,3,2,2552519,2.16456,-
task3,3,4,2552519,3.0747,-
task3,3,8,2552519,2.86072,-
task3,3,1,5105039,1.16543,-
task3,3,2,5105039,2.18007,-
task3,3,4,5105039,3.36821,-
task3,3,8,5105039,3.76131,-
